
,
,
,
,
,
,
,
,
,
,
,
,
"“’We were just sitting out in the middle of the ocean and then this huge male seal appeared with an octopus and he was thrashing him about for ages,’ Mulinder told the news channel. ‘I was like ‘mate, what just happened?’ It was weird because it happened so fast but I could feel all the hard parts of the octopus on my face.’","Mulinder was a paddle king, his kayaking was great,
He liked to sit with sea all round and call the creatures “mate”;
He kayaked with his camera, aquatic as a plaice,
Until the day eight tentacles unfurled across his face.
""His face was full of octopus—he had no time to dodge;
Like some prehensile blunderbuss, it landed with a splodge.
It did not act with animus, it showed a certain grace,
That octopodic incubus that flipped him in the face.
""A mollusk-flinging seal had caught Mulinder off his guard:
He had not known an octopus had parts so very hard.
He scratched his newly-slimy head. “What happened, mate?” he cried;
And wincing at the syllable the whiskered one replied:
""“Your face is full of octopus; here’s why I had you sluiced:
I’m not your mate—you’re human, plus we’ve not been introduced.
I see no need to flap and flail; I think I’ve made my case;
Don’t make me find a killer whale to flip you in the face.”
""
"
,
,
“10-year-old expected to make full recovery after falling from tree[house] and landing on meat skewer that penetrated his skull.,"How many can boast, like young Xavier Cunningham,
A skewer passed through ’em without even stunning ’em?
""Here’s hoping those tree houses number still fewer,
Constructed right over an up-ended skewer.
""
"
"“A diamond tiara that once belonged to one of Britain’s most extravagant aristocrats
is up for sale on Saturday at a prestigious European art fair.
The Anglesey Tiara was at one time owned by Henry Cyril Paget—fifth Marquess of Anglesey.…
The fourth marquess left the 20-something Paget an estate worth £535,000—
equivalent to about £60m today. …
[He] became known as ‘The Dancing Marquess’ by the newspaper gossip sheets. …
[I]n the space of just over five years, [he] had blown the lot, been declared bankrupt,
and died from complications of tuberculosis in Monte Carlo.
He told a French journalist: ‘In six years, I have run through that fortune, just how—I could not tell you.’ …
He was just 29.","He had a fleet of poodles;
His motors ran on scent;
Of jewels, he had oodles,
Draped over him like noodles.
Who knew how much he spent?
""Not he. His self-aimed bounty
Might daily have financed
The budget of a county;
He let it mount and mount. He
Dropped diamonds as he danced.
""Man spends, the bank disposes;
He crashed at twenty-nine,
And died (tuberculosis).
His kin came in with hoses,
Purell, and turpentine,
""And set to work. Embittered?
They must have felt bereft;
They’d lost the wealth he’d frittered
On all that barked and glittered.
So no real trace is left;
""But you who sense romance in
The shades of Anglesey
Might glimpse, if you should glance in,
The twinkle of a dance in
A marquessal marquee.
""
"
“A discussion panel at the Davos World Economic Forum has become a sensation after a Dutch historian took billionaires to task for not paying taxes.,"As Davos’ billionaires began
To scratch each other’s backs,
A strange, farouche historian
Leapt up and shouted tax.
""“You do not pay enough!” he cried;
A slogan which forthwith
The massed philanthropists denied
As economic myth.
""“Pray look around,” they urged him, stunned:
“Behold how much we give!
Our institute! Our special fund!
Our youth initiative!
""“We’ve founded schools! Created jobs!
Just read this dossier!”
The ingrate answered, through their sobs:
“Don’t give before you pay.
""“Tax, tax, and tax! No more BS!”
This unrefined refrain
Has guaranteed, as you may guess,
He’ll not be asked again,
""Until he’s learned that truth the poor
Are so unapt to learn:
You cannot get a tax break for
An IRS return.
""
"
